Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
Cisplatin,1005,C3A,910850,LIHC,digestive_system,liver,3.1762867038779,0.898333044910322,8,0.0934444642108115,-0.0319348747100708,GDSC2
Cisplatin,1005,JHH-2,1240157,LIHC,digestive_system,liver,4.30567116279996,0.963713814157724,8,0.0999306330334119,0.576785644291712,GDSC2
Cisplatin,1005,JHH-4,1240158,LIHC,digestive_system,liver,3.10192254958691,0.9211209219526,8,0.0693992748924569,-0.0720159881321076,GDSC2
Cisplatin,1005,JHH-6,1240159,LIHC,digestive_system,liver,5.77236052453019,0.975035624937208,8,0.0556763121873049,1.36730821827768,GDSC2
Cisplatin,1005,JHH-7,1240160,LIHC,digestive_system,liver,4.61020515912584,0.962626371137635,8,0.0871337915227349,0.740924694402343,GDSC2
Cisplatin,1005,SNU-398,1240217,LIHC,digestive_system,liver,4.6262061064007,0.97631302490652,8,0.0593242100671871,0.749548954150854,GDSC2
Cisplatin,1005,huH-1,1298146,LIHC,digestive_system,liver,3.51739649050999,0.933035220334484,8,0.0871404589410208,0.151917953009424,GDSC2
Cisplatin,1005,JHH-1,1298151,LIHC,digestive_system,liver,5.18358088408757,0.979673877661809,8,0.0597083509554806,1.04996522185466,GDSC2
Cytarabine,1006,HLE,907057,LIHC,digestive_system,liver,2.53432717015457,0.959176795678745,2,0.0517183954963346,0.42947702712696,GDSC2
Cytarabine,1006,HuH-7,907071,LIHC,digestive_system,liver,3.195211043257,0.962875975126236,2,0.0385182153122399,0.719486696120017,GDSC2
Cytarabine,1006,SK-HEP-1,909719,LIHC,digestive_system,liver,2.16529630740163,0.949907139479831,2,0.101288778266765,0.267538564545328,GDSC2
Cytarabine,1006,SNU-387,909736,LIHC,digestive_system,liver,4.62152317041919,0.976486627175278,2,0.0862420635185131,1.34538229550466,GDSC2
Cytarabine,1006,SNU-423,909737,LIHC,digestive_system,liver,2.50438445692924,0.939062702900446,2,0.0292952009115456,0.416337538171862,GDSC2
Cytarabine,1006,SNU-449,909738,LIHC,digestive_system,liver,5.21076867419667,0.969330655741809,2,0.0556388988581679,1.60395554938654,GDSC2
Cytarabine,1006,C3A,910850,LIHC,digestive_system,liver,1.29386001665533,0.85245136629237,2,0.0915855625905563,-0.114865909997966,GDSC2
Cytarabine,1006,JHH-2,1240157,LIHC,digestive_system,liver,4.22417671939617,0.979498576445869,2,0.0694895358833255,1.17101836043722,GDSC2
Cytarabine,1006,JHH-4,1240158,LIHC,digestive_system,liver,4.24006962788902,0.976408515111313,2,0.0282001398823383,1.17799250115836,GDSC2
Cytarabine,1006,JHH-6,1240159,LIHC,digestive_system,liver,2.9517639598712,0.936489851537521,2,0.0473202894553786,0.612657023096511,GDSC2
Cytarabine,1006,JHH-7,1240160,LIHC,digestive_system,liver,4.30696616791545,0.97484048909132,2,0.0866866886206473,1.20734810237582,GDSC2
Cytarabine,1006,SNU-398,1240217,LIHC,digestive_system,liver,0.153426487146097,0.818686775229364,2,0.201609576592594,-0.615312000245193,GDSC2
