sample,ploidy,cellularity
HRR226569,2,1
HRR226570,2,1
HRR226571,2,1
HRR226572,2,1
HRR226573,2,1
HRR226574,2,1
HRR226575,2,1
HRR226576,2,1
HRR226577,2,1
HRR226578,2,1
HRR226579,2,1
HRR226580,2,1
HRR226581,2,1
HRR226582,2,1
HRR226583,2,1
HRR226584,2.04,1
HRR226585,2,1
HRR226586,2,1
HRR226587,2,1
HRR226588,2,1
HRR226589,2,1
HRR226590,2,1
HRR226591,2,1
HRR226592,2,1
HRR226593,2,1
HRR226594,2,1
HRR226595,2,1
HRR226596,3,1
HRR226597,2,1
HRR226598,2,1
HRR226599,2,1
HRR226600,2,1
HRR226601,2,1
HRR226602,2,1
HRR226603,3.04,1
HRR226604,2,1
HRR226605,2,1
HRR226606,3,1
HRR226607,3.4,1
HRR226608,2,1
HRR226609,2,1
HRR226610,2,1
HRR226611,4.68,1
HRR226612,2,1
HRR226613,2.04,1
HRR226614,2,1
HRR226615,2,1
HRR226616,2,1
HRR226617,2,1
HRR226618,2,1
HRR226619,2,1
HRR226620,2,1
HRR226621,3,1
HRR226622,2,1
HRR226623,2,1
HRR226624,2,1
HRR226625,2,1
HRR226626,2,1
HRR226627,2,1
HRR226628,2,1
HRR226629,2,1
HRR226630,2,1
HRR226631,2,1
HRR226632,2.04,1
HRR226633,2,1
HRR226634,3.44,1
HRR226635,2.04,1
HRR226636,2,1
HRR226637,2,1
HRR226638,2,1
HRR226639,2,1
HRR226640,2,1
HRR226641,2,1
HRR226642,2,1
HRR226643,2,1
HRR226644,2,1
HRR226645,2,1
HRR226646,2,1
HRR226647,2,1
HRR226648,2,1
HRR226649,2,1
HRR226650,2,1
HRR226651,2,1
HRR226652,2,1
HRR226653,2,1
HRR226654,2,1
HRR226655,2,1
HRR226656,2,1
HRR226657,2,1
HRR226658,2,1
HRR226659,2,1
HRR226660,2,1
HRR226661,2,1
HRR226662,2,1
HRR226663,2,1
HRR226664,2,1
HRR226665,2,1
HRR226666,2,1
HRR226667,2,1
HRR226668,2,1
HRR226669,2,1
HRR226670,4.04,1
HRR226671,2,1
HRR226672,2,1
HRR226673,2,1
HRR226674,2,1
HRR226675,2,1
HRR226676,2,1
HRR226677,2,1
HRR226678,2,1
HRR226679,2,1
HRR226680,1.96,1
HRR226681,2,1
HRR226682,2,1
HRR226683,2,1
HRR226684,2,1
HRR226685,2,1
HRR226686,2,1
HRR226687,2,1
HRR226688,2,1
HRR226689,2,1
HRR226690,2,1
HRR226691,2,1
HRR226692,2,1
HRR226693,2,1
HRR226694,2,1
HRR226695,2,1
HRR226696,2,1
HRR226697,2,1
HRR226698,2,1
HRR226699,2,1
HRR226700,2,1
HRR226701,2,1
HRR226702,2,0.96
HRR226703,3.04,1
HRR226704,3.92,1
HRR226705,2,1
HRR226706,2.96,1
HRR226707,4.84,1
HRR226708,3.08,1
HRR226709,4.16,1
HRR226710,2,1
HRR226711,4.04,1
HRR226712,3.08,1
HRR226713,3.72,1
HRR226714,4.48,1
HRR226715,4.52,1
HRR226716,4.36,1
HRR226717,4.12,1
HRR226718,3.8,1
HRR226719,2,1
HRR226720,4.28,1
